conditionID	fold	fit_rep	model	lmax	nmixt	ncat	seed	infile	outfile	cmd
cond01	1	1	mmm	2	-1	1	56790	datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train1.01.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train1.01.json.gz --lmax 2 --ncat 1 --seed 56790 -q --map
cond01	1	2	mmm	2	-1	1	46944	datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train1.02.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train1.02.json.gz --lmax 2 --ncat 1 --seed 46944 -q --map
cond01	1	3	mmm	2	-1	1	35323	datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train1.03.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train1.03.json.gz --lmax 2 --ncat 1 --seed 35323 -q --map
cond01	1	4	mmm	2	-1	1	63411	datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train1.04.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train1.04.json.gz --lmax 2 --ncat 1 --seed 63411 -q --map
cond01	1	5	mmm	2	-1	1	21308	datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train1.05.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train1.05.json.gz --lmax 2 --ncat 1 --seed 21308 -q --map
cond01	1	6	mmm	2	-1	1	59206	datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train1.06.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train1.06.json.gz --lmax 2 --ncat 1 --seed 59206 -q --map
cond01	1	7	mmm	2	-1	1	22577	datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train1.07.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train1.07.json.gz --lmax 2 --ncat 1 --seed 22577 -q --map
cond01	1	8	mmm	2	-1	1	36757	datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train1.08.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train1.08.json.gz --lmax 2 --ncat 1 --seed 36757 -q --map
cond01	1	9	mmm	2	-1	1	63411	datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train1.09.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train1.09.json.gz --lmax 2 --ncat 1 --seed 63411 -q --map
cond01	1	10	mmm	2	-1	1	28049	datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train1.10.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train1-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train1.10.json.gz --lmax 2 --ncat 1 --seed 28049 -q --map
cond01	2	1	mmm	2	-1	1	43757	datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train2.01.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train2.01.json.gz --lmax 2 --ncat 1 --seed 43757 -q --map
cond01	2	2	mmm	2	-1	1	62911	datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train2.02.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train2.02.json.gz --lmax 2 --ncat 1 --seed 62911 -q --map
cond01	2	3	mmm	2	-1	1	42959	datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train2.03.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train2.03.json.gz --lmax 2 --ncat 1 --seed 42959 -q --map
cond01	2	4	mmm	2	-1	1	30054	datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train2.04.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train2.04.json.gz --lmax 2 --ncat 1 --seed 30054 -q --map
cond01	2	5	mmm	2	-1	1	29596	datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train2.05.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train2.05.json.gz --lmax 2 --ncat 1 --seed 29596 -q --map
cond01	2	6	mmm	2	-1	1	58366	datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train2.06.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train2.06.json.gz --lmax 2 --ncat 1 --seed 58366 -q --map
cond01	2	7	mmm	2	-1	1	13070	datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train2.07.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train2.07.json.gz --lmax 2 --ncat 1 --seed 13070 -q --map
cond01	2	8	mmm	2	-1	1	64134	datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train2.08.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train2.08.json.gz --lmax 2 --ncat 1 --seed 64134 -q --map
cond01	2	9	mmm	2	-1	1	35539	datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz	data/batch/03-fish-map/cond01/cond01-train2.09.json.gz	singularity exec -B $(readlink -v data) singularity/sif/jupyter+colaml.6c01617 colaml fit mmm -i datasets/03-fish/cv5/fish-lmax2-train2-v0.json.gz -o data/batch/03-fish-map/cond01/cond01-train2.09.json.gz --lmax 2 --ncat 1 --seed 35539 -q --map
