	conditionID	loglik_test	model	lmax	nmixt	ncat	dof
0	cond01	-469692.2448902924	mmm	2	-1	1	6
1	cond02	-441269.587167521	mmm	2	-1	2	15
2	cond03	-434719.40129891085	mmm	2	-1	3	26
3	cond04	-431463.95712028857	mmm	2	-1	4	39
4	cond05	-430049.75137537427	mmm	2	-1	5	54
5	cond06	-429096.7039480882	mmm	2	-1	6	71
6	cond07	-442557.43753758667	mirage	2	3	-1	20
7	cond08	-438075.56987750647	mirage	2	5	-1	34
8	cond09	-435776.9075241017	mirage	2	7	-1	48
9	cond10	-434643.87406766776	mirage	2	9	-1	62
10	cond11	-433737.5529139122	mirage	2	11	-1	76
11	cond12	-452354.7716705841	branch	2	-1	-1	2114
12	cond13	-510085.1421508812	mmm	3	-1	1	9
13	cond14	-480269.44544708787	mmm	3	-1	2	21
14	cond15	-472694.82118949515	mmm	3	-1	3	35
15	cond16	-469151.95709052595	mmm	3	-1	4	51
16	cond17	-467110.78752909834	mmm	3	-1	5	69
17	cond18	-465817.7006617908	mmm	3	-1	6	89
18	cond19	-480893.7048163249	mirage	3	3	-1	29
19	cond20	-475646.5962782946	mirage	3	5	-1	49
20	cond21	-473185.73054514534	mirage	3	7	-1	69
21	cond22	-471636.7273663787	mirage	3	9	-1	89
22	cond23		branch	3	-1	-1	3171
