	conditionID	loglik_test	model	lmax	nmixt	ncat	dof
0	cond01	-469692.22717540635	mmm	2	-1	1	6
1	cond02	-441270.33362827264	mmm	2	-1	2	15
2	cond03	-434723.4475174615	mmm	2	-1	3	26
3	cond04	-431478.59658501594	mmm	2	-1	4	39
4	cond05	-430104.61276347877	mmm	2	-1	5	54
5	cond06	-429181.3664488806	mmm	2	-1	6	71
6	cond07	-442558.0278523838	mirage	2	3	-1	20
7	cond08	-438073.45367135317	mirage	2	5	-1	34
8	cond09	-435772.15375378245	mirage	2	7	-1	48
9	cond10	-434664.56587474083	mirage	2	9	-1	62
10	cond11	-433739.3634299502	mirage	2	11	-1	76
11	cond12	-452946.36307920783	branch	2	-1	-1	2114
12	cond13	-510085.32291053014	mmm	3	-1	1	9
13	cond14	-480271.11754038435	mmm	3	-1	2	21
14	cond15	-472696.5888581733	mmm	3	-1	3	35
15	cond16	-469039.3923244296	mmm	3	-1	4	51
16	cond17	-467128.66107527865	mmm	3	-1	5	69
17	cond18	-465977.1781513995	mmm	3	-1	6	89
18	cond19	-480894.1033297211	mirage	3	3	-1	29
19	cond20	-475648.2620592682	mirage	3	5	-1	49
20	cond21	-473177.1686558304	mirage	3	7	-1	69
21	cond22	-471643.29249374353	mirage	3	9	-1	89
22	cond23	-492187.8774086761	branch	3	-1	-1	3171
