	conditionID	loglik_test	model	lmax	nmixt	ncat	dof
0	cond01	-1028629.3804078603	mmm	2	-1	1	6
1	cond02	-951099.7304102073	mmm	2	-1	2	15
2	cond03	-928185.3312632097	mmm	2	-1	3	26
3	cond04	-918846.8888369282	mmm	2	-1	4	39
4	cond05	-915086.0407173829	mmm	2	-1	5	54
5	cond06	-912742.5470932882	mmm	2	-1	6	71
6	cond07	-956795.6745558435	mirage	2	3	-1	20
7	cond08	-947828.2345865251	mirage	2	5	-1	34
8	cond09	-943857.631141838	mirage	2	7	-1	48
9	cond10	-941452.0919072583	mirage	2	9	-1	62
10	cond11	-940095.9320716728	mirage	2	11	-1	76
11	cond12	-966895.9271116849	branch	2	-1	-1	826
12	cond13	-1214901.5735155523	mmm	3	-1	1	9
13	cond14	-1113261.473734969	mmm	3	-1	2	21
14	cond15	-1085765.0581195944	mmm	3	-1	3	35
15	cond16	-1074276.7601167662	mmm	3	-1	4	51
16	cond17	-1068560.6266067766	mmm	3	-1	5	69
17	cond18	-1065703.983533824	mmm	3	-1	6	89
18	cond19	-1116550.2529461046	mirage	3	3	-1	29
19	cond20	-1106144.8822517963	mirage	3	5	-1	49
20	cond21	-1101148.1980389254	mirage	3	7	-1	69
21	cond22	-1098269.852925261	mirage	3	9	-1	89
22	cond23	-1134498.9734632403	branch	3	-1	-1	1239
