	conditionID	data_rep	fit_rep	loglik	lmax	ncat	ntips	nOGs	cpy_change_rates	cpy_root_probs	cat_switch_rates	cat_root_probs
0	cond01	1	9	-203896.63537597662	2	3	128	4000	0.03075776609125151	0.07495194486247954	1.1011690061564354	0.025416077092901224
1	cond01	2	10	-192362.4310674455	2	3	128	4000	0.031883650151973246	0.026700877865056618	0.19941271510355643	0.009700910461636902
2	cond01	3	3	-196457.22604858747	2	3	128	4000	0.02123102943223626	0.08092495931869151	0.4333454847852352	0.059750273646203333
3	cond01	4	6	-169270.25862890645	2	3	128	4000	0.042274613258401934	0.040612774178531236	1.6314499851853694	0.018830698595515283
4	cond01	5	4	-165398.64359545632	2	3	128	4000	0.07253151103647992	0.04427124065979221	4.598206649015215	0.03437042940056306
5	cond01	6	10	-190667.62351811526	2	3	128	4000	0.024913176748824067	0.05518697868710066	0.5164543448808528	0.010606414187435242
6	cond01	7	5	-180259.7159761783	2	3	128	4000	0.04695078246248613	0.017776817777506348	0.42436738928599277	0.036660722093425746
7	cond01	8	4	-172372.29010712286	2	3	128	4000	0.029809337160572973	0.020822435387986355	0.26480234547370557	0.022180898764367074
8	cond01	9	4	-190462.92783960426	2	3	128	4000	0.02630670074244207	0.0561680746018989	1.0888176307055062	0.011313181013175355
9	cond01	10	8	-239685.30336563935	2	3	128	4000	0.030777780151550232	0.055744313779843735	0.6903713735212776	0.06663866166576576
10	cond02	1	4	-62060.14408341897	2	3	32	4000	0.3393440652913367	0.09981864094021013	3.519762333921769	0.06932451660931571
11	cond02	2	7	-56158.29730659468	2	3	32	4000	0.266547233528764	0.2403535703027185	1.3133333146222717	0.15990338393873005
12	cond02	3	6	-59595.192688484305	2	3	32	4000	0.1633882745733289	0.12805344336445426	5.407754857149516	0.09670538435238574
13	cond02	4	2	-57047.301400298566	2	3	32	4000	0.07022538178908323	0.1210640482358743	1.5999383943007848	0.10041883441212235
14	cond02	5	9	-48735.30768841613	2	3	32	4000	0.13736279442678306	0.2306541308361946	3.848396123209876	0.0674786171344336
15	cond02	6	9	-50876.121599762504	2	3	32	4000	0.47774964342109777	0.07842835786141979	1.9381698392511055	0.1649867287313255
16	cond02	7	9	-38492.62902747483	2	3	32	4000	0.34705338385944934	0.23969389743023659	1.5152486950219934	0.31644300903312905
17	cond02	8	8	-37337.131506464284	2	3	32	4000	0.24402044393467792	0.23454233963643248	2.771623678837757	0.18186664414616588
18	cond02	9	1	-45546.01950755799	2	3	32	4000	0.25873162647550224	0.1555859538251926	2.717881737779381	0.15915832677445818
19	cond02	10	10	-66050.38130829232	2	3	32	4000	0.15226927106370988	0.11052062714108812	2.5222407245968914	0.10245562209935982
20	cond03	1	1	-126785.23080488505	2	3	64	4000	0.05658553753934212	0.03787070875720345	0.635733787837179	0.010228148606323206
21	cond03	2	8	-109516.87482419668	2	3	64	4000	0.04051376819617097	0.07284578594996054	1.4043050875311662	0.037306396373992357
22	cond03	3	9	-97743.78891861625	2	3	64	4000	0.06069300654023574	0.05806221543715793	1.365250991704017	0.022224208020174774
23	cond03	4	7	-94993.70569747873	2	3	64	4000	0.0782341170723536	0.034400175258402575	1.0446398369151344	0.035732805195130446
24	cond03	5	9	-111041.65512378128	2	3	64	4000	0.04077156918695707	0.03769719388839596	0.8349193804814198	0.018285821305344674
25	cond03	6	5	-100776.24174463852	2	3	64	4000	0.04466922870094097	0.07315643827109555	3.0456383865507988	0.06580138766686172
26	cond03	7	3	-99612.30914420624	2	3	64	4000	0.1585048472765852	0.08218106117019808	10.31105963553359	0.14375735657027347
27	cond03	8	7	-130969.24984312651	2	3	64	4000	0.03729698744571816	0.02274353049976101	0.8764933844865167	0.04411217031877546
28	cond03	9	6	-83706.07445238373	2	3	64	4000	0.09841795356529061	0.06484565813365166	1.5223806126460524	0.024012612869409977
29	cond03	10	7	-114732.23506230583	2	3	64	4000	0.04846288011523625	0.12329246905229096	1.4238881280805409	0.008557022302194739
30	cond04	1	9	-378123.5779722148	2	3	256	4000	0.013385628224074473	0.02868844632453843	0.1617094046486384	0.0043091046857479665
31	cond04	2	7	-329633.5825895129	2	3	256	4000	0.011402190381727536	0.025779407321531344	0.20095396887156988	0.0184149944292199
32	cond04	3	4	-397116.4396067917	2	3	256	4000	0.020745134703358554	0.021057815753667553	0.4181826068563474	0.005411330524676877
33	cond04	4	4	-379500.9899048798	2	3	256	4000	0.018614211764384714	0.03029420279853745	0.40638697097351306	0.01191739459539018
34	cond04	5	7	-468751.38181289996	2	3	256	4000	0.01441476175347827	0.021509095326637567	0.5748437300768142	0.002735263324528836
35	cond04	6	7	-456645.6097278994	2	3	256	4000	0.01251139241972792	0.015849645482600327	0.357854936857305	0.029137476506449822
36	cond04	7	1	-256447.76374345945	2	3	256	4000	0.02607141580229369	0.07013773415042107	0.4497850487665866	0.014273061417719057
37	cond04	8	4	-424470.5447839669	2	3	256	4000	0.015578280329003316	0.017533352335613678	0.15453148983074916	0.012051031421988434
38	cond04	9	5	-410656.9709683748	2	3	256	4000	0.014553353497194546	0.018399531035325805	0.24196004339544408	0.019061499514831604
39	cond04	10	3	-423883.4963846437	2	3	256	4000	0.0157064169295028	0.0210315588544646	0.1943303562877179	0.011952858010573997
40	cond05	1	6	-651729.4186866652	2	3	512	4000	0.011716899276625845	0.027567014747325664	0.20412108634406537	0.010299547764521966
41	cond05	2	9	-744101.3311703197	2	3	512	4000	0.00997735318803869	0.05083546666922014	0.1603036953605174	0.00718901126453142
42	cond05	3	5	-792708.9268451757	2	3	512	4000	0.032577297291698955	0.03694315244563109	0.5761475608889849	0.005713208765084854
43	cond05	4	10	-776608.9468271551	2	3	512	4000	0.014761480588668626	0.027717632522197232	0.7041848331539207	0.017308239052598373
44	cond05	5	3	-806874.4109640184	2	3	512	4000	0.009725150349682965	0.016999756447685643	0.29782219934105375	0.005502146069988223
45	cond05	6	7	-748817.7910511103	2	3	512	4000	0.005797786736668096	0.02057156954601036	0.10831408131716469	0.009272923924410925
46	cond05	7	9	-761271.7579887917	2	3	512	4000	0.012587637674194685	0.014389470522782869	0.4224255032459694	0.018342423114374506
47	cond05	8	8	-791912.3883427823	2	3	512	4000	0.010905142155849997	0.022341921922411512	0.1478280403301989	0.006508888970709781
48	cond05	9	4	-831026.6049315766	2	3	512	4000	0.010757545423343359	0.017045499165525353	0.22780956183398401	0.0027917812832645716
49	cond05	10	2	-633908.3331238958	2	3	512	4000	0.011689194939577688	0.03370569473683643	0.22901132687256212	0.010233733202679729
50	cond06	1	1	-50444.864590321056	2	3	128	1000	0.04978435301827855	0.08339655847252862	0.7203761600345057	0.006836996359097514
51	cond06	2	10	-38711.81032203253	2	3	128	1000	0.06581514031511063	0.20658373189960955	0.6387626470911575	0.07003579717440214
52	cond06	3	1	-43708.05738139406	2	3	128	1000	0.0634245149800956	0.04861694598015779	0.5948192613206307	0.015281164267929415
